"0","25","79","1","1582551533.922583"
"1","38","93","0","1582551533.922594"
"2","21","69","2","1582551533.9226"
"3","38","96","1","1582551533.922605"
"4","32","67","1","1582551533.92261"
"5","30","86","2","1582551533.922615"
"6","38","98","1","1582551533.92262"
"7","20","74","2","1582551533.922625"
"8","34","70","2","1582551533.92263"
"9","42","85","1","1582551533.922636"
"10","20","86","1","1582551533.922641"
"11","43","61","2","1582551533.922646"
"12","41","88","1","1582551533.922651"
"13","34","103","2","1582551533.922656"
"14","47","105","0","1582551533.922661"
"15","27","103","2","1582551533.922666"
"16","33","71","0","1582551533.922671"
"17","23","93","0","1582551533.922677"
"18","24","81","2","1582551533.922682"
"19","23","76","2","1582551533.922687"
"20","20","73","0","1582551533.922692"
"21","50","101","1","1582551533.922697"
"22","47","85","0","1582551533.922702"
"23","35","63","2","1582551533.922707"
"24","27","85","1","1582551533.922713"
"25","42","83","0","1582551533.922717"
"26","21","64","2","1582551533.922724"
"27","37","63","1","1582551533.922729"
"28","49","80","0","1582551533.922734"
"29","37","75","2","1582551533.922739"
"30","20","91","2","1582551533.922744"
"31","30","61","2","1582551533.922749"
"32","46","84","0","1582551533.922755"
"33","30","91","0","1582551533.92276"
"34","19","102","2","1582551533.922765"
"35","25","63","1","1582551533.92277"
"36","18","87","1","1582551533.922775"
"37","48","102","1","1582551533.922782"
"38","39","73","0","1582551533.922787"
"39","33","60","1","1582551533.922793"
"40","39","60","2","1582551533.922798"
"41","22","94","0","1582551533.922803"
"42","50","83","2","1582551533.922808"
"43","23","67","1","1582551533.922813"
"44","47","66","2","1582551533.922819"
"45","34","104","1","1582551533.922823"
"46","27","83","0","1582551533.922829"
"47","47","99","1","1582551533.922834"
"48","31","66","1","1582551533.922839"
"49","26","110","2","1582551533.922844"
"50","27","103","1","1582551533.922849"
"51","45","108","1","1582551533.922854"
"52","45","109","0","1582551533.922859"
"53","40","74","1","1582551533.922864"
"54","22","76","2","1582551533.922869"
"55","28","66","0","1582551533.922874"
"56","45","71","1","1582551533.92288"
"57","35","105","0","1582551533.922885"
"58","29","85","0","1582551533.92289"
"59","29","92","2","1582551533.922896"
"60","41","62","0","1582551533.922901"
"61","30","98","0","1582551533.922906"
"62","41","73","0","1582551533.922913"
"63","31","61","2","1582551533.922918"
"64","23","106","1","1582551533.922923"
"65","50","84","1","1582551533.922928"
"66","50","91","0","1582551533.922933"
"67","48","98","2","1582551533.922938"
"68","42","105","0","1582551533.922943"
"69","49","68","1","1582551533.922948"
"70","21","83","0","1582551533.922953"
"71","23","92","0","1582551533.922961"
"72","49","81","1","1582551533.922966"
"73","29","96","0","1582551533.922971"
"74","32","103","2","1582551533.922977"
"75","21","68","1","1582551533.922982"
"76","23","76","2","1582551533.922987"
"77","44","96","2","1582551533.922992"
"78","37","63","1","1582551533.922997"
"79","42","64","1","1582551533.923002"
"80","30","61","2","1582551533.923007"
"81","18","109","0","1582551533.923012"
"82","47","64","2","1582551533.923018"
"83","31","61","1","1582551533.923023"
"84","34","104","1","1582551533.923028"
"85","19","101","1","1582551533.923033"
"86","48","66","2","1582551533.923038"
"87","50","87","1","1582551533.923045"
"88","19","92","0","1582551533.92305"
"89","21","105","2","1582551533.923056"
"90","34","60","1","1582551533.923061"
"91","46","87","2","1582551533.923068"
"92","18","73","1","1582551533.923073"
"93","19","77","2","1582551533.923078"
"94","22","73","0","1582551533.923083"
"95","26","78","0","1582551533.923088"
"96","18","70","1","1582551533.923093"
"97","46","107","0","1582551533.923098"
"98","18","107","2","1582551533.923103"
"99","40","69","1","1582551533.923108"
